Year_Start,Year_End,Estate_ID,Block_ID,Block_Administration_Charge,Block_Administration_Charge_Unit,Block_TV_Aerial,Block_TV_Aerial_Unit,Block_Repairs,Block_Repairs_Unit,Block_Estate_Lighting,Block_Estate_Lighting_Unit,Block_Security_Services,Block_Security_Services_Unit,Block_Lift_Maintenance,Block_Lift_Maintenance_Unit,Block_Heating_And_Hotwater,Block_Heating_And_Hotwater_Unit,Block_Ground_Rent,Block_Ground_Rent_Unit,Block_Building_Insurance,Block_Building_Insurance_Unit,Block_Door_Entry,Block_Door_Entry_Unit,Block_Care_And_Upkeep,Block_Care_And_Upkeep_Unit,Estate_Care_And_Upkeep,Estate_Care_And_Upkeep_Unit,Estate_Grounds_Maintenance,Estate_Grounds_Maintenance_Unit,Estate_Lighting,Estate_Lighting_Unit,Estate_Repairs_And_Maintenance,Estate_Repairs_And_Maintenance_Unit
2022,2023,"SWKE0235","SWKB1115","147.63","2.55","0.00","0.00","63.47","1.09","218.31","3.76","0.00","0.00","214.88","3.70","0.00","0.00","10.00","0.17","422.23","7.28","69.11","1.19","324.52","5.60","3145.72","4.72","0.00","0.00","538.65","0.81","0.00","0.00"
2022,2023,"SWKE0235","SWKB1116","1013.84","4.74","0.00","0.00","1464.12","6.84","1363.02","6.37","0.00","0.00","448.88","2.10","0.00","0.00","70.00","0.33","2641.29","12.34","728.55","3.40","2291.79","10.71","3145.72","4.72","0.00","0.00","538.65","0.81","0.00","0.00"
2022,2023,"SWKE0235","SWKB1117","526.27","3.99","0.00","0.00","1014.34","7.68","1535.23","11.63","0.00","0.00","0.00","0.00","0.00","0.00","30.00","0.23","1108.87","8.40","101.92","0.77","956.57","7.25","3145.72","4.72","0.00","0.00","538.65","0.81","0.00","0.00"
2022,2023,"SWKE0235","SWKB1118","710.73","5.38","0.00","0.00","1641.47","12.44","585.32","4.43","0.00","0.00","0.00","0.00","0.00","0.00","50.00","0.38","1874.42","14.20","527.06","3.99","1578.34","11.96","3145.72","4.72","0.00","0.00","538.65","0.81","0.00","0.00"
2022,2023,"SWKE0201","SWKB1119","965.61","7.10","0.00","0.00","1374.24","10.10","354.48","2.61","0.00","0.00","833.12","6.13","0.00","0.00","70.00","0.51","2884.04","21.21","69.26","0.51","2239.31","16.47","36636.71","8.79","15477.74","3.71","7328.70","1.76","4457.84","1.07"
2022,2023,"SWKE0145","SWKB1120","1283.22","6.45","0.00","0.00","1243.16","6.25","2281.50","11.46","0.00","0.00","2077.24","10.44","0.00","0.00","80.00","0.40","3410.36","17.14","266.28","1.34","1855.44","9.32","28851.81","5.32","12285.67","2.26","6990.17","1.29","3304.06","0.61"
2022,2023,"SWKE0301","SWKB1121","9540.43","17.87","0.00","0.00","21991.47","41.18","2517.53","4.71","0.00","0.00","1934.73","3.62","44153.72","82.68","260.00","0.49","9293.92","17.40","0.00","0.00","7419.28","13.89","12966.55","7.53","3369.10","1.96","918.19","0.53","635.55","0.37"
2022,2023,"SWKE0236","SWKB1122","763.96","5.79","0.00","0.00","630.47","4.78","334.31","2.53","0.00","0.00","0.00","0.00","0.00","0.00","90.00","0.68","3169.74","24.01","0.00","0.00","1475.29","11.18","5011.67","10.19","1807.86","3.67","817.12","1.66","328.91","0.67"
2022,2023,"SWKE0236","SWKB1123","492.13","8.49","0.00","0.00","291.14","5.02","235.17","4.05","0.00","0.00","0.00","0.00","0.00","0.00","40.00","0.69","1896.78","32.70","0.00","0.00","1081.24","18.64","5011.67","10.19","1807.86","3.67","817.12","1.66","328.91","0.67"
2022,2023,"SWKE0236","SWKB1124","319.11","5.50","0.00","0.00","63.90","1.10","151.74","2.62","0.00","0.00","0.00","0.00","0.00","0.00","20.00","0.34","1198.62","20.67","0.00","0.00","972.60","16.77","5011.67","10.19","1807.86","3.67","817.12","1.66","328.91","0.67"
2022,2023,"SWKE0236","SWKB1125","639.70","6.15","0.00","0.00","1451.40","13.96","247.86","2.38","0.00","0.00","0.00","0.00","0.00","0.00","60.00","0.58","2130.17","20.48","0.00","0.00","1073.88","10.33","5011.67","10.19","1807.86","3.67","817.12","1.66","328.91","0.67"
2022,2023,"SWKE0236","SWKB1126","464.60","6.64","0.00","0.00","0.00","0.00","203.39","2.91","0.00","0.00","0.00","0.00","0.00","0.00","50.00","0.71","1965.49","28.08","0.00","0.00","1251.70","17.88","5011.67","10.19","1807.86","3.67","817.12","1.66","328.91","0.67"
