Year_Start,Year_End,Estate_ID,Block_ID,Block_Administration_Charge,Block_TV_Aerial,Block_Repairs,Block_Estate_Lighting,Block_Security_Services,Block_Lift_Maintenance,Block_Heating_And_Hotwater,Block_Ground_Rent,Block_Building_Insurance,Block_Door_Entry,Block_Care_And_Upkeep,Estate_Care_And_Upkeep,Estate_Grounds_Maintenance,Estate_Lighting,Estate_Repairs_And_Maintenance
2022,2023,"SWKE0017","SWKB0345","103.79","0.00","204.20","36.34","0.00","0.00","0.00","10.00","339.82","0.00","246.94","11038.97","3490.54","1723.70","13544.02"
2022,2023,"SWKE0080","SWKB0346","739.44","0.00","3222.80","664.32","0.00","0.00","0.00","40.00","1688.92","57.24","1034.64","0.00","1293.36","0.00","159.68"
2022,2023,"SWKE0080","SWKB0347","462.36","0.00","432.40","685.96","0.00","0.00","0.00","40.00","1688.92","55.16","1034.64","0.00","1293.36","0.00","159.68"
2022,2023,"SWKE0081","SWKB0348","272.66","0.00","106.06","411.08","0.00","0.00","0.00","20.00","844.46","29.86","618.50","0.00","632.62","84.10","0.00"
2022,2023,"SWKE0274","SWKB0349","66.48","0.00","0.00","0.00","0.00","0.00","0.00","10.00","343.32","0.00","83.32","4758.09","2896.30","1515.54","462.79"
2022,2023,"SWKE0274","SWKB0350","283.00","0.00","342.40","421.38","0.00","0.00","0.00","20.00","844.46","0.00","813.36","4758.09","2896.30","1515.54","462.79"
2022,2023,"SWKE0045","SWKB0351","522.31","0.00","146.32","142.47","0.00","0.00","3681.07","10.00","422.23","0.00","434.19","21208.02","7811.54","2210.07","2040.28"
2022,2023,"SWKE0274","SWKB0352","653.32","0.00","176.50","499.76","0.00","0.00","4491.30","20.00","689.28","0.00","335.98","4758.09","2896.30","1515.54","462.79"
2022,2023,"SWKE0274","SWKB0353","549.14","0.00","87.86","537.12","0.00","0.00","3500.80","20.00","689.28","0.00","335.98","4758.09","2896.30","1515.54","462.79"
2022,2023,"SWKE0274","SWKB0354","1725.69","0.00","1119.84","971.07","0.00","0.00","10672.59","60.00","2300.61","0.00","1069.74","4758.09","2896.30","1515.54","462.79"
2022,2023,"SWKE0274","SWKB0355","342.33","0.00","146.62","256.16","0.00","0.00","2263.09","10.00","344.64","0.00","242.58","4758.09","2896.30","1515.54","462.79"
