ID,Block_Name,Block_RV,Estate_ID
"SWKB0267","Carnicot House, Consort Road 1-28(C)",184,"SWKE0082"
"SWKB0268","Caroline Gardens 142",5,"SWKE0058"
"SWKB0269","Caroline Gardens 169",5,"SWKE0058"
"SWKB0270","Caroline Gardens 75",5,"SWKE0058"
"SWKB0271","Carterscroft, Red Post Hill 1-6(C)",30,"SWKE0059"
"SWKB0272","Cartwright House, County Street 1-16(C)",95,"SWKE0288"
"SWKB0273","Casby House, Marine Street 1-83(C)",475,"SWKE0341"
"SWKB0274","Casino Avenue 10-16(E)",28,"SWKE0324"
"SWKB0275","Casino Avenue 110-112(E)",14,"SWKE0324"
"SWKB0276","Casino Avenue 114-116(E)",14,"SWKE0324"
"SWKB0277","Casino Avenue 118-124(E)",28,"SWKE0324"
"SWKB0278","Casino Avenue 121-127(O)",29,"SWKE0324"
"SWKB0279","Casino Avenue 129-135(O)",28,"SWKE0324"
"SWKB0280","Casino Avenue 18-24(E)",28,"SWKE0324"
"SWKB0281","Casino Avenue 21-27(O)",28,"SWKE0324"
"SWKB0282","Casino Avenue 26-32(E)",28,"SWKE0324"
"SWKB0283","Casino Avenue 2-8(E)",29,"SWKE0324"
"SWKB0284","Casino Avenue 29-39(O)",42,"SWKE0324"
"SWKB0285","Casino Avenue 38-48(E)",36,"SWKE0324"
"SWKB0286","Casino Avenue 41-47(O)",28,"SWKE0324"
"SWKB0287","Casino Avenue 50-72(E)",72,"SWKE0324"
"SWKB0288","Casino Avenue 53-63(O)",42,"SWKE0324"
"SWKB0289","Casino Avenue 73-83(O)",42,"SWKE0324"
"SWKB0290","Casino Avenue 74-84(E)",36,"SWKE0324"
"SWKB0291","Casino Avenue 85-91(O)",29,"SWKE0324"
"SWKB0292","Casino Avenue 90-108(E)",69,"SWKE0324"
"SWKB0293","Casino Avenue 9-19(O)",42,"SWKE0324"
"SWKB0294","Casino Avenue 97-111(O)",56,"SWKE0324"
"SWKB0295","Caspian Street 1-47(O)",173,"SWKE0129"
"SWKB0296","Caspian Street 30-32(E); Draycott Close 2 / Flats 1-9(C); Draycott Close 4-26(E); Draycott Close 28 / Flats 1-9(C); Draycott Close 30-42(E)",233,"SWKE0129"
"SWKB0297","Cassinghurst, Sunray Avenue 1-15(C)",75,"SWKE0059"
"SWKB0298","Castlemead, Camberwell Road 1-112(C), West Camberwell Nho & Rampway; Castlemead Tenants Hall",680,"SWKE0060"
"SWKB0299","Cathay House, Cathay Street 1-24(C)",144,"SWKE0061"
"SWKB0300","Cator Street 15-29(O), 15A-19A(O), 23A-27A(O)",84,"SWKE0010"
"SWKB0301","Cator Street 31-41(O)",42,"SWKE0010"
"SWKB0302","Causton House, Bethwin Road 69-84(C)",104,"SWKE0159"
"SWKB0303","Caversham House, Haymerle Road 1-10(C)",65,"SWKE0145"
"SWKB0304","Caversham House, Haymerle Road 11-20(C)",70,"SWKE0145"
"SWKB0305","Caversham House, Haymerle Road 21-30(C)",75,"SWKE0145"
"SWKB0306","Cavour House, Alberta Street 1-30(C)",180,"SWKE0008"
"SWKB0307","Chabot Drive 18 / Flats 1-17(C)",94,"SWKE0215"
"SWKB0308","Chalfont House, Keetons Road 1-20(C); Farmer House, Keetons Road 1-10(C); Perryn Road 1-14(C)",269,"SWKE0310"
"SWKB0309","Chalmers Walk 1-4(C); Copley Close 1-3(C)",44,"SWKE0041"
"SWKB0310","Chalmers Walk 15-20(C); Dale Road 4-6(C)",57,"SWKE0041"
"SWKB0311","Chalmers Walk 5-8(C); Copley Close 4-5(C)",38,"SWKE0041"
"SWKB0312","Chalmers Walk 9-14(C); Dale Road 1-3(C)",57,"SWKE0041"
"SWKB0313","Champion Hill 24A-24C(C), 26A-26C(C), 28A-28C(C)",42,"SWKE0079"
"SWKB0314","Champion Hill 30A-30H(C), 32A-32H(C)",96,"SWKE0079"
"SWKB0315","Chandler Way 58; Dorton Close 7; Dorton Close 8 / Flats 1-5(C)",38,"SWKE0065"
