BD CODE,BD NAME,BD RATEABLE VALUE
BD000444,GARLINGE HOUSE 1-8,2080
BD000445,HANWAY HOUSE 1-20,5528
BD000446,HALLAM HOUSE 1-20,5480
BD000447,KINGSGATE HOUSE 1-54,13410
BD000448,KNOWLTON HOUSE 1-65,13947
BD000449,LAUDERDALE HOUSE 1-23,5564
BD000450,MOIRA HOUSE 1-20 CONS,5220
BD000451,MACARTNEY HOUSE 1-30,8056
BD000452,PENELOPE HOUSE 1-15,4275
BD000453,REDLYNCH HOUSE 1-20,5220
BD000454,SACKETT HOUSE 1-15,3656
BD000455,STODMARSH HOUSE 1-30,6715
BD000456,SEASALTER HOUSE 1-8 CONS,2080
BD000457,WHITENESS HOUSE 1-15,4378
BD000458,WOODCHURCH HOUSE 1-8,2080
BD000459,LEYS COURT 1-64,17230
BD000460,CHILHAM COURT 1-10,3085
BD000461,CHARTHAM COURT 1-59,16780
BD000462,BURGATE COURT 1-12,3816
BD000463,BROADOAK COURT 1-36,9348
BD000464,WESTGATE COURT 1-40,8920
BD000465,WINCHEAP COURT 1-8,2449
BD000466,NORTHGATE COURT 1-36,9348
BD000467,PAULET ROAD 53-59,1587
BD000468,MYATT HOUSE 1-6,1824
BD000469,GORDON GROVE 1-3,4688
BD000474,SOUTHWELL ROAD 1-7,4688
BD000475,HERNE HILL ROAD 26,1212
BD000476,ROLLSCOURT AVENUE 12-14,1208
BD000477,BARRINGTON ROAD 8-38,4576
BD000478,ELDON HOUSE 1-22,6312
BD000479,ELMORE HOUSE 1-63,16002
BD000480,FEATLEY ROAD 1-9 CONS,2574
BD000481,HARPER HOUSE 1-53,12587
BD000482,HARRIS HOUSE 1-78,18964
BD000483,HOWARD HOUSE 1-78,18964
BD000484,KEMBLE HOUSE 1-88,21074
BD000485,KETTLEBY HOUSE 1-88,21074
BD000486,LEICESTER HOUSE 1-53,12587
BD000487,NEVIL HOUSE 1-53,12587
BD000488,RUPERT GARDENS 1-16 CONS,4672
BD000489,RUPERT GARDENS 17-32 CONS,4672
BD000490,RUPERT GARDENS 33&34 36-48 CONS,4556
BD000491,ST JAMES CRESCENT 1-19 & 37-55 ODD,5720
BD000492, ST JAMES CRESCENT 21-35 & 57-71 ODD,4576
BD000493,ST JAMES CRESCENT 73-91,2860
BD000494,ST JAMES CRESCENT 93-115,3432
BD000495,ST JAMES CRESCENT 117-159 ODD,6292
BD000496,SECKER HOUSE 1-53,12587
BD000497,STYLES GARDENS 7-22,4672
BD000498,STYLES GARDENS 23-38,4672
BD000499,STYLES GARDENS 39-54,4672
BD000500,STYLES GARDENS 55-70,4672
BD000501,STYLES GARDENS 71-86,4672
BD000502,SWINFORD GARDENS,245
BD000503,SWINFORD GARDENS,245
BD000504,SWINFORD GARDENS,245
BD000505,SWINFORD GARDENS 22-41,2960
BD000506,SWINFORD GARDENS,245
BD000507,SWINFORD GARDENS,245
BD000508,SWINFORD GARDENS,245
BD000509,WOOLLEY HOUSE 1-80,19890
BD000510,TALLEYRAND HOUSE,274
BD000511,TALLEYRAND HOUSE 5-18,3122
BD000512,WINTERSLOW HOUSE 1-36,9368
BD000513,BATHGATE HOUSE 1-20,5740
BD000514,DALKEITH HOUSE 1-25,6730
BD000515,SILVERBURN HOUSE 1-41,10053
BD000516,PECKFORD PLACE 1-23 ODD,3572
BD000517,PECKFORD PLACE 2-12 34-44,3592
BD000518,PECKFORD PLACE 14-32 46-64,5980
BD000519,ELLIOT ROAD 55-70,4720
BD000520,CALIDORE CLOSE 1-52,12064
BD000521,HYPERION HOUSE,21448
BD000522,CHAUCER ROAD 72-78,908
BD000523,MAYALL ROAD 120 122-126,1093
BD000524,MERVAN ROAD,364
BD000525,RATTRAY ROAD 77-79,548
BD000526,SPENSER ROAD 57-63,1096
BD000527,WITCHWOOD HOUSE 1-39,12020
BD000528,BLACK TREE MEWS,338
BD000529,BLACK TREE MEWS,326
BD000530,LANGPORT HOUSE 1 - 48,7082
BD000531,NEWBURY HOUSE,9000
BD000533,SOMERLEYTON ROAD 1-5 ODDS,774
BD000534,HOLLES HOUSE 1-45,8292
BD000535,FAIRFAX HOUSE,9328
BD000536,WARWICK HOUSE 1-60,4822
BD000537,HALSMERE ROAD 25 & 26,532
BD000539,HALSMERE ROAD 42-45,998
BD000540,HALSMERE ROAD,372
BD000541," ST JAMES CRESCENT 165, 165A & 165B",982
BD000542,ST JAMES CRESCENT 167,384
BD000543,ST JAMES CRESCENT 169A,397
BD000544,ST JAMES CRESCENT 225,211
BD000546,MALLAMS MEWS,384
BD000547,MALLAMS MEWS ,384
BD000548,MALLAMS MEWS ,384
BD000549,MALLAMS MEWS ,384
BD000550,MALLAMS MEWS ,384
BD000551,MALLAMS MEWS ,384
BD000552,MALLAMS MEWS ,384
BD000553,PAULET ROAD 2-40 EVEN,5170
BD000554,PAULET ROAD 42-76,4653
BD000555,PAULET ROAD 78-116,5170
BD000556,PAULET ROAD 118-160,5687
BD000557,PAULET ROAD 162-200,5170
BD000558,BURTON LANE ,302
BD000559,BURTON LANE ,302
