Block,RV,Boiler Repairsand Maintenance,CCTV,Cleaning,Communal Electricity,Communal Electrical Maintenance,TV Aerial,Communal Water Quality,Communal Window Cleaning,Communal Ventilation Maintenance,Concierge,Disinfestation,Dry Riser,Door Entry System,Cleaning External,Grounds Maintenance External,External Tree Maintenance,Repairsand Maintenance External,Fire Ventilation Maintenance,Repairsand Maintenance,Lift Services & Repairs,Lightning Protection,,Only blocks containing homeowners
Keith Connor Close 7 & 9,541,0,0,379.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Keith Connor Close 10-14,815,0,0,571.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Keith Connor Close 9 & 11,541,0,0,379.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Newby Street 20-22,422,0,0,296.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Phil Brown Place 3-4,380,0,0,266.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Phil Brown Place (9,10)",422,0,0,296.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Phil Brown Place 18-19,380,0,0,266.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Robertson Street 50-60,1266,0,0,888.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.69,0,0,,
Robertson Street 62-64,422,0,0,296.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546.95,0,0,,
Silverthorne Road 9-11,380,0,0,266.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tessa Sanderson Place 3-4,380,0,0,266.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.63,0,0,,
Tessa Sanderson Place 7-8,422,0,0,296.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tessa Sanderson Place 9-10,422,0,0,301.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
