Property Ref,Bed Size,Block Reference,Estate Reference,Block Definition Code (Used for Service Charges)
664517,0,STR016784,ENBR4,BD003266
619093,0,STR004326,ENBR7,
664518,0,STR015171,ENBR7,BD000923
649021,0,STR000883,ENBR4,BD002756
649022,0,STR000883,ENBR4,
618601,0,STR004021,ENBR2,
618602,0,STR004021,ENBR2,
618604,0,STR004021,ENBR2,BD000867
618605,0,STR004021,ENBR2,
618606,0,STR004021,ENBR2,
618607,0,STR004021,ENBR2,
618608,0,STR004021,ENBR2,
618612,0,STR004024,ENBR2,
618613,0,STR004024,ENBR2,
618615,0,STR004024,ENBR2,
618616,0,STR004024,ENBR2,
618618,0,STR004024,ENBR2,
618627,0,STR017375,ENBR2,
618630,0,STR017375,ENBR2,
618631,0,STR017375,ENBR2,
618633,0,STR017375,ENBR2,
618634,0,STR017375,ENBR2,
618714,0,STR004036,ENBR2,BD000883
618715,0,STR004036,ENBR2,
612386,0,STR000646,EA020,
612387,0,STR000646,EA020,
612388,0,STR000646,EA020,
612389,0,STR000646,EA020,BD000463
664509,0,STR014754,EA020,BD000462
664510,0,STR014755,EA020,BD000462
648552,0,STR000536,EA108,
648556,0,STR000536,EA108,
648560,0,STR000536,EA108,
648564,0,STR000536,EA108,
664615,0,STR002748,EB021,BD002241
604416,0,STR018069,EB025,BD000141
617977,0,STR004349,ENBR3,
620556,0,STR004198,EA115,
620586,0,STR004208,EA115,
664590,0,STR004228,EB027,BD000706
644720,0,STR002754,ENCS7,
642235,0,STR005626,EA015,BD002363
642237,0,STR005626,EA015,BD002363
642241,0,STR005626,EA015,BD002363
642244,0,STR005626,EA015,BD002363
664594,0,STR017486,EA027,BD003291
664596,0,STR005632,EA027,BD003292
664598,0,STR016896,EA027,BD003293
640704,0,STR000866,EA012,BD002246
640773,0,STR000329,EA101,
647920,0,STR000264,EA084,
647922,0,STR000264,EA084,
647924,0,STR000264,EA084,
647925,0,STR000264,EA084,BD002717
644766,0,STR002635,ENCS7,
648645,0,STR001048,EA108,BD002742
648646,0,STR001048,EA108,BD002742
648649,0,STR001048,EA108,
